Experiment,Dimensions,Clusters,Marital_Status_Encoding,Education_Encoding,Calinski-Harabasz,Silhouette,Explained Variance
1,624,5,Word2Vec,Word2Vec,1163.0242996024986,0.4702195672969669,0.5279793465721365
1_standarized,624,3,Word2Vec,Word2Vec,1612.8794861086765,0.4993334203670561,0.5897181579264413
2_standarized,329,4,Word2Vec,One-hot,4797.202473678988,0.7378221951457133,0.7291992291609113
3_standarized,325,4,Word2Vec,Ordinal,5314.251272270139,0.7807895366308981,0.7455467456221484
4_standarized,332,3,One-hot,Word2Vec,11986.528615729429,0.8231699078009157,0.9148067159553328
5_standarized,325,3,Ordinal,Word2Vec,14696.954341146571,0.8683554806452656,0.9304043421774412
6_standarized,37,5,One-hot,One-hot,972.803942440284,0.2976852143891226,0.278908726544982
7_standarized,26,3,Ordinal,Ordinal,1074.4545232136686,0.3274123238659795,0.3398929319113959
8_standarized,33,4,One-hot,Ordinal,1197.33176801563,0.3683681859247102,0.3126551703666759
9_standarized,30,4,Ordinal,One-hot,982.1383457316988,0.388272124782497,0.3479921169356254
5b_standarized(remove_marital_states),325,3,Ordinal,Word2Vec,14357.696306359232,0.8622042470644947,0.9293877807586152
